date;prevalence_merged_linreg;prop_unwell;prevalence_since_2019
01.01.2017;10.367;10.367;
08.01.2017;9.4312;9.4312;
15.01.2017;9.4312;9.4312;
22.01.2017;9.1376;9.1376;
29.01.2017;10.0367;10.0367;
05.02.2017;10.5688;10.5688;
12.02.2017;9.9083;9.9083;
19.02.2017;10.4404;10.4404;
26.02.2017;9.578;9.578;
05.03.2017;9.945;9.945;
12.03.2017;9.7982;9.7982;
19.03.2017;10.3486;10.3486;
26.03.2017;9.3211;9.3211;
02.04.2017;8.3303;8.3303;
09.04.2017;8.7156;8.7156;
16.04.2017;8.789;8.789;
23.04.2017;8.0367;8.0367;
30.04.2017;8.367;8.367;
07.05.2017;8.1835;8.1835;
14.05.2017;8.6239;8.6239;
21.05.2017;8.8807;8.8807;
28.05.2017;7.9083;7.9083;
04.06.2017;8.2936;8.2936;
11.06.2017;9.3578;9.3578;
18.06.2017;8.1835;8.1835;
25.06.2017;8.4771;8.4771;
02.07.2017;7.8899;7.8899;
09.07.2017;7.2294;7.2294;
16.07.2017;7.9083;7.9083;
23.07.2017;8;8;
30.07.2017;8.6789;8.6789;
06.08.2017;8.387;8.387;
13.08.2017;8.4937;8.4937;
20.08.2017;8.5338;8.5338;
27.08.2017;8.5872;8.5872;
03.09.2017;8.2135;8.2135;
10.09.2017;8.0667;8.0667;
17.09.2017;7.4662;7.4662;
24.09.2017;7.7731;7.7731;
01.10.2017;8.3203;8.3203;
08.10.2017;8.208;8.208;
15.10.2017;8.3058;8.3058;
22.10.2017;8.1346;8.1346;
29.10.2017;8.0122;8.0122;
05.11.2017;7.8654;7.8654;
12.11.2017;8.0979;8.0979;
19.11.2017;7.8287;7.8287;
26.11.2017;8.2446;8.2446;
03.12.2017;8.1957;8.1957;
10.12.2017;9.5168;9.5168;
17.12.2017;8.7462;8.7462;
24.12.2017;8.5627;8.5627;
31.12.2017;9.6391;9.6391;
07.01.2018;9.1988;9.1988;
14.01.2018;9.3001;9.3001;
21.01.2018;9.3421;9.3421;
28.01.2018;10.7401;10.7401;
04.02.2018;9.8593;9.8593;
11.02.2018;9.3561;9.3561;
18.02.2018;10.4605;10.4605;
25.02.2018;9.412;9.412;
04.03.2018;10.2927;10.2927;
11.03.2018;8.6431;8.6431;
18.03.2018;10.055;10.055;
25.03.2018;8.3635;8.3635;
01.04.2018;8.699;8.699;
08.04.2018;9.0357;9.0357;
15.04.2018;9.0275;9.0275;
22.04.2018;8.0897;8.0897;
29.04.2018;9.5739;9.5739;
06.05.2018;8.9949;8.9949;
13.05.2018;8.6932;8.6932;
20.05.2018;9.3048;9.3048;
27.05.2018;9.3293;9.3293;
03.06.2018;7.9918;7.9918;
10.06.2018;9.0438;9.0438;
17.06.2018;8.7666;8.7666;
24.06.2018;9.419;9.419;
01.07.2018;9.1172;9.1172;
08.07.2018;9.8022;9.8022;
15.07.2018;9.8022;9.8022;
22.07.2018;10.4139;10.4139;
29.07.2018;9.9327;9.9327;
05.08.2018;10.1774;10.1774;
12.08.2018;10.2752;10.2752;
19.08.2018;10.6014;10.6014;
26.08.2018;9.052;9.052;
02.09.2018;8.84;8.84;
09.09.2018;9.1498;9.1498;
16.09.2018;8.8237;8.8237;
23.09.2018;9.2803;9.2803;
30.09.2018;8.4811;8.4811;
07.10.2018;8.261;8.261;
14.10.2018;8.2691;8.2691;
21.10.2018;8.5953;8.5953;
28.10.2018;8.5627;8.5627;
04.11.2018;8.8481;8.8481;
11.11.2018;9.2396;9.2396;
18.11.2018;8.7095;8.7095;
25.11.2018;8.6279;8.6279;
02.12.2018;8.84;8.84;
09.12.2018;9.0194;9.0194;
16.12.2018;9.6473;9.6473;
23.12.2018;9.3619;9.3619;
30.12.2018;10.1937;10.1937;
06.01.2019;10.0632;10.0632;
13.01.2019;9.3323;9.4516;9.195281443
20.01.2019;9.5101;9.5658;9.382508247
27.01.2019;9.5101;9.5821;9.382508247
03.02.2019;9.8657;9.9898;9.756961856
10.02.2019;9.599;9.7125;9.476121649
17.02.2019;9.9546;9.949;9.850575258
24.02.2019;9.3323;9.3537;9.195281443
03.03.2019;9.1545;9.0601;9.008054639
10.03.2019;9.9546;10.1121;9.850575258
17.03.2019;10.5769;10.5117;10.50586907
24.03.2019;8.8878;8.9378;8.727214433
31.03.2019;9.4212;9.4353;9.288894845
07.04.2019;9.7768;9.7859;9.663348454
14.04.2019;8.6211;8.9623;8.446374227
21.04.2019;8.8878;8.7503;8.727214433
28.04.2019;8.5322;8.5708;8.352760825
05.05.2019;8.4433;8.4648;8.259147423
12.05.2019;9.3323;9.4597;9.195281443
19.05.2019;8.3544;8.579;8.165534021
26.05.2019;8.6211;8.6524;8.446374227
02.06.2019;8.3544;8.4811;8.165534021
09.06.2019;8.8878;9.1009;8.727214433
16.06.2019;8.6211;8.6361;8.446374227
23.06.2019;8.5322;8.4811;8.352760825
30.06.2019;8.3544;8.2691;8.165534021
07.07.2019;7.9988;7.9755;7.791080412
14.07.2019;8.3544;8.2446;8.165534021
21.07.2019;8.71;8.6361;8.539987629
28.07.2019;7.4654;7.4292;7.2294
04.08.2019;9.2434;9.2722;9.101668041
11.08.2019;8.6211;8.4893;8.446374227
18.08.2019;8.4433;8.473;8.259147423
25.08.2019;8.2655;8.2039;8.071920619
01.09.2019;8.0877;8.1794;7.884693814
08.09.2019;8.3544;8.3914;8.165534021
15.09.2019;8.2655;8.4077;8.071920619
22.09.2019;7.7321;7.7309;7.510240206
29.09.2019;7.9099;7.9348;7.69746701
06.10.2019;8.4433;8.3751;8.259147423
13.10.2019;8.71;8.685;8.539987629
20.10.2019;9.0656;8.8155;8.914441237
27.10.2019;8.2655;8.1386;8.071920619
03.11.2019;8.71;8.685;8.539987629
10.11.2019;8.5322;8.3507;8.352760825
17.11.2019;8.5322;8.473;8.352760825
24.11.2019;8.4433;8.4077;8.259147423
01.12.2019;9.5101;9.5984;9.382508247
08.12.2019;9.5101;9.6555;9.382508247
15.12.2019;10.5769;10.5607;10.50586907
22.12.2019;9.8657;9.9735;9.756961856
29.12.2019;11.5548;11.6779;11.53561649
05.01.2020;13.3328;12.9011;13.40788454
12.01.2020;12.7105;12.8685;12.75259072
19.01.2020;13.7773;13.8389;13.87595155
26.01.2020;14.3107;14.1325;14.43763196
02.02.2020;16.0887;16.3099;16.3099
09.02.2020;15.0219;15.0459;15.18653918
16.02.2020;13.155;13.4964;13.22065773
23.02.2020;12.6216;12.5668;12.65897732
01.03.2020;12.8883;12.5505;12.93981753
08.03.2020;11.9104;11.5474;11.9100701
15.03.2020;10.488;10.422;10.41225567
22.03.2020;10.3102;10.2589;10.22502887
29.03.2020;9.0656;8.7584;8.914441237
05.04.2020;9.5101;9.8104;9.382508247
12.04.2020;9.6879;9.9898;9.569735052
19.04.2020;9.599;9.4924;9.476121649
26.04.2020;8.1766;7.633;7.978307216
03.05.2020;7.884693814;;7.884693814
10.05.2020;7.69746701;;7.69746701
17.05.2020;6.386879381;;6.386879381
24.05.2020;7.510240206;;7.510240206
31.05.2020;7.791080412;;7.791080412
07.06.2020;7.884693814;;7.884693814
14.06.2020;7.69746701;;7.69746701
21.06.2020;7.2294;;7.2294
28.06.2020;6.293265979;;6.293265979
05.07.2020;7.603853608;;7.603853608
12.07.2020;7.791080412;;7.791080412
19.07.2020;7.510240206;;7.510240206
26.07.2020;7.416626804;;7.416626804
02.08.2020;8.539987629;;8.539987629
09.08.2020;7.69746701;;7.69746701
16.08.2020;7.884693814;;7.884693814
23.08.2020;8.820827835;;8.820827835
30.08.2020;9.008054639;;9.008054639
06.09.2020;8.165534021;;8.165534021
13.09.2020;6.199652577;;6.199652577
20.09.2020;7.416626804;;7.416626804
27.09.2020;11.16116289;;11.16116289
04.10.2020;8.259147423;;8.259147423
11.10.2020;7.791080412;;7.791080412
18.10.2020;6.948559794;;6.948559794
25.10.2020;7.416626804;;7.416626804
01.11.2020;8.071920619;;8.071920619
08.11.2020;6.386879381;;6.386879381
15.11.2020;8.727214433;;8.727214433
22.11.2020;8.633601031;;8.633601031
29.11.2020;8.352760825;;8.352760825
06.12.2020;8.727214433;;8.727214433
13.12.2020;10.31864227;;10.31864227
20.12.2020;8.539987629;;8.539987629
27.12.2020;9.756961856;;9.756961856
03.01.2021;8.914441237;;8.914441237
10.01.2021;8.727214433;;8.727214433
