Week;Total ILI;Total Patients;% Unweighted ILI;%Weighted ILI
200040;1041;84727;1;
200041;1227;116910;1;
200042;1520;134545;1;
200043;1768;145152;1;
200044;1854;150659;1;
200045;2199;155669;1;
200046;2424;163868;1;
200047;2343;131094;2;
200048;2855;178641;2;
200049;3097;178529;2;
200050;3394;165935;2;
200051;3361;139431;2;
200052;4152;122719;3;
200101;4786;148528;3;
200102;5544;177720;3;
200103;6710;176002;4;
200104;7894;188419;4;
200105;7271;182105;4;
200106;6464;178697;4;
200107;4818;171043;3;
200108;3898;162035;2;
200109;2604;149742;2;
200110;2559;155408;2;
200111;1911;139685;1;
200112;1831;132140;1;
200113;1547;128808;1;
200114;1217;110742;1;
200115;902;96587;1;
200116;954;102499;1;
200117;726;98993;1;
200118;640;89885;1;
200119;564;82045;1;
200120;391;54216;1;
200121;;;;
200122;;;;
200123;;;;
200124;;;;
200125;;;;
200126;;;;
200127;;;;
200128;;;;
200129;;;;
200130;;;;
200131;;;;
200132;;;;
200133;;;;
200134;;;;
200135;;;;
200136;;;;
200137;;;;
200138;;;;
200139;;;;
200140;1362;135381;1;
200141;1753;158186;1,1;
200142;1910;164006;1,2;
200143;2202;172552;1,3;
200144;2370;181989;1,3;
200145;2320;189258;1,2;
200146;2487;184437;1,3;
200147;2082;141009;1,5;
200148;2534;178778;1,4;
200149;2250;176325;1,3;
200150;2157;169124;1,3;
200151;2251;147695;1,5;
200152;2249;103715;2,2;
200201;2563;129407;2;
200202;2863;169204;1,7;
200203;3705;177303;2,1;
200204;4786;160501;3;
200205;5553;185738;3;
200206;5610;188733;3;
200207;5795;181007;3,2;
200208;5625;177918;3,2;
200209;5054;182066;2,8;
200210;3526;162265;2,2;
200211;2932;149951;2;
200212;2178;136268;1,6;
200213;1962;134659;1,5;
200214;1629;131152;1,2;
200215;1136;118852;1;
200216;929;113458;0,8;
200217;771;103999;0,7;
200218;637;92814;0,7;
200219;551;82475;0,7;
200220;261;45496;0,6;
200221;;;;
200222;;;;
200223;;;;
200224;;;;
200225;;;;
200226;;;;
200227;;;;
200228;;;;
200229;;;;
200230;;;;
200231;;;;
200232;;;;
200233;;;;
200234;;;;
200235;;;;
200236;;;;
200237;;;;
200238;;;;
200239;;;;
200240;2056;173931;1,2;
200241;2246;184320;1,2;
200242;2160;190250;1,1;
200243;2577;205199;1,3;
200244;2885;221422;1,3;
200245;3201;228408;1,4;
200246;3079;221934;1,4;
200247;2941;221291;1,3;
200248;2697;187326;1,4;
200249;3029;240475;1,3;
200250;2924;232002;1,3;
200251;3395;212881;1,6;
200252;2786;141748;2;
200301;2989;167992;1,8;
200302;3534;230792;1,5;
200303;4002;227174;1,8;
200304;5438;230205;2,4;
200305;6762;239642;2,8;
200306;7651;240226;3,2;
200307;7506;245763;3,1;
200308;6829;231757;2,9;
200309;5524;234186;2,4;
200310;4321;219891;2;
200311;3767;213563;1,8;
200312;2950;190556;1,5;
200313;2402;188466;1,3;
200314;1998;182974;1,1;
200315;2035;183281;1,1;
200316;1385;165631;0,8;
200317;1391;163425;0,9;
200318;999;152434;0,7;
200319;881;131723;0,7;
200320;611;71839;0,9;
200321;;;;
200322;;;;
200323;;;;
200324;;;;
200325;;;;
200326;;;;
200327;;;;
200328;;;;
200329;;;;
200330;;;;
200331;;;;
200332;;;;
200333;;;;
200334;;;;
200335;;;;
200336;;;;
200337;;;;
200338;;;;
200339;;;;
200340;2442;254144;0,961;0,883
200341;2932;281045;1,043;1,025
200342;3028;287180;1,054;1,28
200343;3475;312412;1,112;1,323
200344;4674;331689;1,409;1,762
200345;5790;335258;1,727;2,426
200346;8385;348202;2,408;2,711
200347;11139;357853;3,113;3,723
200348;11734;272470;4,307;4,542
200349;18915;392435;4,82;5,396
200350;24858;388046;6,406;7,404
200351;23638;344574;6,86;7,508
200352;16405;232228;7,064;7,642
200353;11306;248467;4,55;5,152
200401;7600;314008;2,42;2,901
200402;5576;307876;1,811;2,103
200403;4967;288638;1,721;1,889
200404;4446;286070;1,554;1,791
200405;4258;293348;1,452;1,467
200406;3818;286980;1,33;1,397
200407;3681;279667;1,316;1,322
200408;2891;278151;1,039;1,099
200409;2734;266345;1,026;1,011
200410;2691;253248;1,063;1,052
200411;2467;238840;1,033;1,101
200412;2281;239906;0,951;0,877
200413;1850;226351;0,817;0,786
200414;1684;202371;0,832;0,7
200415;1723;194636;0,885;0,725
200416;1577;186914;0,844;0,68
200417;1265;176074;0,718;0,537
200418;1293;134214;0,963;0,593
200419;1106;114903;0,963;0,533
200420;900;80382;1,12;0,867
200421;;;;
200422;;;;
200423;;;;
200424;;;;
200425;;;;
200426;;;;
200427;;;;
200428;;;;
200429;;;;
200430;;;;
200431;;;;
200432;;;;
200433;;;;
200434;;;;
200435;;;;
200436;;;;
200437;;;;
200438;;;;
200439;;;;
200440;3127;340844;0,917;0,988
200441;3638;354414;1,026;1,029
200442;4013;375300;1,069;1,173
200443;4107;378417;1,085;1,285
200444;4534;374350;1,211;1,287
200445;4982;378583;1,316;1,433
200446;4995;384268;1,3;1,432
200447;4680;294937;1,587;1,741
200448;5392;383366;1,406;1,574
200449;5455;373839;1,459;1,674
200450;5906;355459;1,662;1,877
200451;5684;258561;2,198;2,39
200452;7300;282602;2,583;2,793
200501;7842;367539;2,134;2,393
200502;8191;374316;2,188;2,522
200503;9270;367223;2,524;2,844
200504;12295;402709;3,053;3,548
200505;16106;402544;4,001;4,608
200506;19262;418778;4,6;5,058
200507;19407;413416;4,694;5,435
200508;16477;393771;4,184;4,492
200509;13038;378248;3,447;3,691
200510;11219;357908;3,135;3,35
200511;9101;345265;2,636;2,798
200512;7686;325333;2,363;2,555
200513;6150;319770;1,923;2,073
200514;4635;297049;1,56;1,649
200515;4281;294727;1,453;1,597
200516;3542;282929;1,252;1,297
200517;3393;270916;1,252;1,249
200518;2724;235908;1,155;1,16
200519;2612;201691;1,295;1,221
200520;1435;125749;1,141;0,991
200521;;;;
200522;;;;
200523;;;;
200524;;;;
200525;;;;
200526;;;;
200527;;;;
200528;;;;
200529;;;;
200530;;;;
200531;;;;
200532;;;;
200533;;;;
200534;;;;
200535;;;;
200536;;;;
200537;;;;
200538;;;;
200539;;;;
200540;3574;327722;1,091;1,199
200541;3472;334586;1,038;1,217
200542;4071;364001;1,118;1,297
200543;4261;374875;1,137;1,344
200544;5003;392088;1,276;1,592
200545;5066;372810;1,359;1,475
200546;5260;377127;1,395;1,615
200547;4810;297031;1,619;1,838
200548;5906;399236;1,479;1,76
200549;6366;382462;1,664;1,941
200550;7662;379719;2,018;2,357
200551;8122;328478;2,473;2,962
200552;8796;289018;3,043;3,264
200601;8287;341239;2,429;2,606
200602;7847;392318;2;2,246
200603;7831;377903;2,072;2,355
200604;9094;407119;2,234;2,405
200605;9519;407149;2,338;2,521
200606;10316;412561;2,5;2,656
200607;11008;389398;2,827;3,126
200608;11640;390892;2,978;3,106
200609;11203;390558;2,868;3,169
200610;11039;394275;2,8;3,097
200611;9160;366572;2,499;2,657
200612;7775;356757;2,179;2,421
200613;7119;341856;2,082;2,376
200614;5491;328225;1,673;1,865
200615;4296;308502;1,393;1,462
200616;3395;283950;1,196;1,355
200617;2985;272293;1,096;1,185
200618;2488;239396;1,039;1,117
200619;2155;191579;1,125;1,138
200620;1239;122722;1,01;0,938
200621;;;;
200622;;;;
200623;;;;
200624;;;;
200625;;;;
200626;;;;
200627;;;;
200628;;;;
200629;;;;
200630;;;;
200631;;;;
200632;;;;
200633;;;;
200634;;;;
200635;;;;
200636;;;;
200637;;;;
200638;;;;
200639;;;;
200640;4460;371765;1,2;1,146
200641;4049;381597;1,061;1,146
200642;4641;413907;1,121;1,224
200643;4797;429068;1,118;1,207
200644;5303;441301;1,202;1,31
200645;6014;449437;1,338;1,45
200646;6571;444927;1,477;1,52
200647;6039;332192;1,818;1,889
200648;7340;443487;1,655;1,793
200649;8044;430057;1,87;1,956
200650;10247;429704;2,385;2,374
200651;9782;358115;2,732;2,833
200652;8641;281878;3,066;2,98
200701;8174;363771;2,247;2,371
200702;7640;409297;1,867;2,077
200703;7724;387956;1,991;2,253
200704;10688;437090;2,445;2,747
200705;11835;420789;2,813;3,023
200706;14005;444405;3,151;3,523
200707;13718;425720;3,222;3,555
200708;13609;431261;3,156;3,288
20079;11463;420711;2,725;2,893
200710;10362;413438;2,506;2,627
200711;9142;379733;2,407;2,522
200712;7190;367812;1,955;2,092
200713;5861;372483;1,573;1,842
200714;4646;339139;1,37;1,372
200715;4524;332707;1,36;1,438
200716;3739;328180;1,139;1,12
200717;3309;312620;1,058;1,045
200718;2657;266171;0,998;0,934
200719;2227;225132;0,989;1,025
200720;1458;157497;0,926;0,881
200721;;;;
200722;;;;
200723;;;;
200724;;;;
200725;;;;
200726;;;;
200727;;;;
200728;;;;
200729;;;;
200730;;;;
200731;;;;
200732;;;;
200733;;;;
200734;;;;
200735;;;;
200736;;;;
200737;;;;
200738;;;;
200739;;;;
200740;5504;517653;1,063;1,004
200741;6444;526967;1,223;1,225
200742;6945;555202;1,251;1,287
200743;7424;544210;1,364;1,407
200744;7906;545187;1,45;1,472
200745;8676;563677;1,539;1,562
200746;9113;541030;1,684;1,634
200747;8338;430262;1,938;1,829
200748;8795;541528;1,624;1,628
200749;7933;500377;1,585;1,644
200750;8040;453694;1,772;1,714
200751;8590;449569;1,911;1,951
200752;8615;348706;2,471;2,548
200801;9397;421799;2,228;2,45
200802;10435;518437;2,013;2,303
200803;11804;507368;2,327;2,65
200804;16808;508757;3,304;3,971
200805;23907;546940;4,371;5,015
200806;29421;582898;5,047;5,748
200807;30672;577800;5,308;5,97
200808;29651;563437;5,263;5,64
200809;24486;583232;4,198;4,502
200810;19803;548097;3,613;3,841
200811;16086;537262;2,994;3,236
200812;11937;496549;2,404;2,555
200813;9889;485003;2,039;2,057
200814;8073;464833;1,737;1,672
200815;6553;468804;1,398;1,324
200816;5468;443820;1,232;1,141
200817;4172;414603;1,006;1,014
200818;3322;366353;0,907;0,91
200819;3396;371387;0,914;0,882
200820;2378;270141;0,88;0,846
200821;;;;
200822;;;;
200823;;;;
200824;;;;
200825;;;;
200826;;;;
200827;;;;
200828;;;;
200829;;;;
200830;;;;
200831;;;;
200832;;;;
200833;;;;
200834;;;;
200835;;;;
200836;;;;
200837;;;;
200838;;;;
200839;;;;
200840;5197;577326;0,9;1,007
200841;5987;614554;0,974;0,98
200842;6018;615977;0,977;0,974
200843;6446;638693;1,009;1,019
200844;6876;639531;1,075;1,09
200845;7241;653548;1,108;1,071
200846;7558;640084;1,181;1,107
200847;7806;652986;1,195;1,178
200848;7768;510902;1,52;1,356
200849;8848;641198;1,38;1,292
200850;8834;618939;1,427;1,29
200851;7884;517743;1,523;1,434
200852;8828;430611;2,05;1,791
200853;8723;456060;1,913;2,112
200901;9126;622752;1,465;1,445
200902;9443;605861;1,559;1,608
200903;11777;619801;1,9;1,942
200904;14596;652331;2,238;2,409
200905;18434;684485;2,693;2,915
200906;21832;690632;3,161;3,513
200907;20354;660645;3,081;3,336
200908;21272;705377;3,016;3,441
200909;18678;663748;2,814;3,165
200910;15925;678166;2,348;2,579
200911;13483;647676;2,082;2,414
200912;11565;650968;1,777;1,974
200913;9655;628386;1,536;1,802
200914;8723;606352;1,439;1,602
200915;7362;601188;1,225;1,285
200916;7452;611884;1,218;1,29
200917;18520;659174;2,81;2,727
200918;14732;634902;2,32;2,217
200919;12314;574475;2,144;1,741
200920;20585;571052;3,605;1,902
200921;22587;562863;4,013;1,864
200922;17328;574498;3,016;1,662
200923;12607;529718;2,38;1,733
200924;10964;553477;1,981;1,86
200925;8954;547012;1,637;1,581
200926;7573;511516;1,481;1,476
200927;6348;517722;1,226;1,391
200928;5986;539173;1,11;1,341
200929;5749;534753;1,075;1,158
200930;5521;511352;1,08;1,21
200931;5601;526288;1,064;1,152
200932;5803;527981;1,099;1,149
200933;8833;569078;1,552;1,446
200934;14349;608643;2,358;2,434
200935;17052;612017;3,415;3,475
200936;17949;603412;3,713;4,06
200937;20519;690184;3,792;4,248
200938;19218;655273;3,724;4,189
200939;21916;656827;4,259;4,869
200940;47128;836858;5,632;6,076
200941;55659;843647;6,597;7,028
200942;66227;881907;7,51;7,688
200943;64314;880154;7,307;7,514
200944;54686;875538;6,246;6,615
200945;41107;837865;4,906;5,194
200946;31485;831117;3,788;4,041
200947;22032;639302;3,446;3,517
200948;21630;799052;2,707;2,731
200949;18701;757774;2,468;2,471
200950;16189;706774;2,291;2,332
200951;13764;519166;2,651;2,577
200952;15075;565196;2,667;2,563
201001;13914;702563;1,98;1,881
201002;13523;747780;1,808;1,848
201003;14073;742068;1,896;1,857
201004;14397;760183;1,894;1,945
201005;15252;744613;2,048;2,064
201006;14879;734594;2,025;2,073
201007;14325;733546;1,953;1,899
201008;15751;789083;1,996;1,937
201009;14311;762369;1,877;1,907
201010;14037;750536;1,87;1,874
201011;12434;719175;1,729;1,749
201012;11018;724814;1,52;1,545
201013;10006;687521;1,455;1,501
201014;8189;692361;1,183;1,218
201015;7992;695639;1,149;1,166
201016;7415;663289;1,118;1,063
201017;7571;664292;1,14;1,078
201018;6901;620623;1,112;1,058
201019;6307;574976;1,097;1,047
201020;4932;473272;1,042;0,95
201021;;;;
201022;;;;
201023;;;;
201024;;;;
201025;;;;
201026;;;;
201027;;;;
201028;;;;
201029;;;;
201030;;;;
201031;;;;
201032;;;;
201033;;;;
201034;;;;
201035;;;;
201036;;;;
201037;;;;
201038;;;;
201039;;;;
201040;8744;759090;1,152;1,119
201041;9632;764955;1,259;1,249
201042;10035;795170;1,262;1,267
201043;10214;801772;1,274;1,263
201044;11409;782472;1,458;1,445
201045;12171;784230;1,552;1,532
201046;13728;799913;1,716;1,629
201047;12420;617301;2,012;1,858
201048;14340;784347;1,828;1,731
201049;15417;754203;2,044;1,894
201050;18614;718219;2,592;2,373
201051;20673;600855;3,441;3,133
201052;20917;606153;3,451;3,157
201101;20440;758452;2,695;2,548
201102;21242;723478;2,936;2,927
201103;26747;762803;3,506;3,455
201104;32691;810789;4,032;4,195
201105;35043;788561;4,444;4,545
201106;35340;825780;4,28;4,479
201107;37395;843171;4,435;4,576
201108;32300;826187;3,91;3,978
201109;25447;795218;3,2;3,418
201110;21079;761985;2,766;3,006
201111;17857;754035;2,368;2,63
201112;14485;738734;1,961;2,106
201113;13326;747456;1,783;1,88
201114;11958;739047;1,618;1,636
201115;9689;700664;1,383;1,433
201116;8945;673002;1,329;1,346
201117;8091;688249;1,176;1,218
201118;7554;663883;1,138;1,163
201119;7542;660474;1,142;1,138
201120;6781;629809;1,077;1,078
201121;6564;596644;1,1;1,124
201122;6265;544453;1,151;1,191
201123;5797;574182;1,01;1,006
201124;5213;547674;0,952;0,924
201125;4629;541196;0,855;0,874
201126;4330;511100;0,847;0,839
201127;4171;477826;0,873;0,848
201128;3879;534283;0,726;0,692
201129;3744;525283;0,713;0,654
201130;3685;519482;0,709;0,668
201131;3276;497351;0,659;0,553
201132;3572;524314;0,681;0,655
201133;4028;536081;0,751;0,685
201134;4598;554675;0,829;0,727
201135;4807;539088;0,892;0,842
201136;4869;503188;0,968;0,95
201137;5449;547684;0,995;1,057
201138;5535;534584;1,035;1,144
201139;5531;482778;1,146;1,136
201140;9358;775878;1,206;1,163
201141;9807;794919;1,234;1,188
201142;9956;792512;1,256;1,283
201143;10299;789508;1,304;1,291
201144;11396;784393;1,453;1,428
201145;11510;798975;1,441;1,397
201146;11728;802029;1,462;1,458
201147;10392;633774;1,64;1,559
201148;11481;783165;1,466;1,342
201149;11229;737911;1,522;1,486
201150;12157;729067;1,667;1,637
201151;11961;646123;1,851;1,83
201152;12367;586027;2,11;2,1
201201;11993;678778;1,767;1,735
201202;11547;746522;1,547;1,553
201203;11934;722911;1,651;1,632
201204;13212;785516;1,682;1,762
201205;14502;774986;1,871;1,938
201206;14615;784755;1,862;1,911
201207;15958;788060;2,025;2,106
201208;16139;764884;2,11;2,243
201209;16515;787373;2,097;2,223
201210;15798;747515;2,113;2,175
201211;17165;747968;2,295;2,387
201212;14518;753304;1,927;1,968
201213;13054;745163;1,752;1,856
201214;11976;709840;1,687;1,702
201215;10747;715076;1,503;1,539
201216;10124;730692;1,386;1,381
201217;9371;724983;1,293;1,296
201218;8997;660440;1,362;1,397
201219;8648;655356;1,32;1,347
201220;8065;635500;1,269;1,233
201221;7877;614420;1,282;1,232
201222;7154;548690;1,304;1,269
201223;6778;579874;1,169;1,118
201224;6132;562388;1,09;1,095
201225;6001;568940;1,055;1,108
201226;5775;533327;1,083;1,1
201227;5283;501604;1,053;1,124
201228;5169;552575;0,935;1,015
201229;4910;540468;0,908;0,94
201230;5090;554763;0,918;0,96
201231;5116;532624;0,961;1
201232;4971;538452;0,923;0,935
201233;4987;546901;0,912;0,866
201234;6030;579501;1,041;1,063
201235;6151;583547;1,054;1,111
201236;6015;537801;1,118;1,2
201237;6741;591025;1,141;1,098
201238;6745;590616;1,142;0,992
201239;6077;486853;1,248;1,143
201240;9400;784911;1,198;1,22
201241;10213;768398;1,329;1,349
201242;10619;809869;1,311;1,337
201243;10860;796963;1,363;1,379
201244;10990;739650;1,486;1,485
201245;12676;786890;1,611;1,65
201246;13456;775850;1,734;1,768
201247;14413;624927;2,306;2,307
201248;18546;833287;2,226;2,159
201249;24920;836965;2,977;2,841
201250;29219;811662;3,6;3,426
201251;34212;752603;4,546;4,315
201252;36545;605865;6,032;6,068
201301;34023;685893;4,96;4,652
201302;39995;858442;4,659;4,327
201303;39421;838473;4,702;4,515
201304;32443;779224;4,164;4,221
201305;29754;806140;3,691;3,793
